insider_name,relation,transaction_date,transaction_code,shares,price,shares_after,ownership_form,form4_url
Kress Colette,,2025-08-04,S,2463,177.1519,159418,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,2009,177.9396,157409,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,3883,179.147,153526,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,466,179.8426,153060,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,429,175.0881,792505,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,722,176.2888,791783,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,2424,177.1538,789359,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,2136,177.944,787223,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,3825,179.1389,783398,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,464,179.8415,782934,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
HUANG JEN HSUN,,2025-08-01,S,4067,171.5924,73669158,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-01,S,10946,172.5176,73658212,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-01,S,24897,173.4905,73633315,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-01,S,17001,174.4972,73616314,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-01,S,13030,175.4639,73603284,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-01,S,5059,176.1652,73598225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,3187,175.1502,73595038,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,6221,176.3812,73588817,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,20670,177.3531,73568147,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,12243,178.2361,73555904,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,30197,179.2267,73525707,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-04,S,2482,179.9019,73523225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-05,S,7876,176.686,73515349,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-05,S,21460,177.6166,73493889,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-05,S,30466,178.4764,73463423,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-05,S,13567,179.3724,73449856,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-08-05,S,1631,180.1028,73448225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml
HUANG JEN HSUN,,2025-07-29,S,22617,175.9113,73875608,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-29,S,23643,176.4785,73851965,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-29,S,8234,177.877,73843731,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-29,S,20062,178.652,73823669,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-29,S,444,179.3038,73823225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-30,S,2241,176.7086,73820984,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-30,S,11141,177.6767,73809843,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-30,S,37774,178.7388,73772069,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-30,S,23844,179.4286,73748225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,1958,176.9181,73746267,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,19623,177.7261,73726644,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,3947,178.9803,73722697,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,11204,179.8009,73711493,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,17547,180.7904,73693946,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,17768,181.7127,73676178,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-31,S,2953,182.7007,73673225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml
HUANG JEN HSUN,,2025-07-24,S,13798,172.0758,74109427,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-24,S,34909,172.8449,74074518,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-24,S,26293,173.571,74048225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-25,S,46701,173.657,74001524,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-25,S,28299,174.2598,73973225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-28,S,36083,174.8635,73937142,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-28,S,33967,175.4397,73903175,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-28,S,4950,176.3777,73898225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml
HUANG JEN HSUN,,2025-07-21,S,22769,171.9176,74325456,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-21,S,51901,172.6317,74273555,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-21,S,330,173.1861,74273225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,2390,165.3619,74270835,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,8414,166.2245,74262421,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,16041,167.2578,74246380,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,43439,168.0112,74202941,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,3356,168.9343,74199585,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,843,170.3842,74198742,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-22,S,517,170.974,74198225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-23,S,23208,168.7626,74175017,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-23,S,31123,169.4245,74143894,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-23,S,20329,170.5735,74123565,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-23,S,340,171.1571,74123225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml
HUANG JEN HSUN,,2025-07-16,S,8171,169.7369,74565054,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-16,S,44727,170.4735,74520327,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-16,S,22102,171.1389,74498225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-17,S,6853,171.5135,74491372,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-17,S,13610,172.6338,74477762,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-17,S,53807,173.3385,74423955,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-17,S,730,174.0332,74423225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-18,S,32909,172.0562,74390316,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-18,S,27225,172.4796,74363091,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
HUANG JEN HSUN,,2025-07-18,S,14866,173.6049,74348225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml
Kress Colette,,2025-07-15,S,4933,170.0271,3007233,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,18527,170.9335,2988706,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,4190,171.6808,2984516,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,1777,170.0274,171283,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,6720,170.9338,164563,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,1503,171.6807,163060,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,1785,170.0266,801149,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,6693,170.9326,794456,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
Kress Colette,,2025-07-15,S,1522,171.6822,792934,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml
SEAWELL A BROOKE,,2025-07-11,S,2562,164.2132,1823820,I,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/wk-form4_1752617063.xml
SEAWELL A BROOKE,,2025-07-11,S,8883,165.1635,1814937,I,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/wk-form4_1752617063.xml
SEAWELL A BROOKE,,2025-07-11,S,21838,166.332,1793099,I,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/wk-form4_1752617063.xml
SEAWELL A BROOKE,,2025-07-11,S,13979,167.1897,1779120,I,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/wk-form4_1752617063.xml
